1.8,15,18,10,15,13,14,15,24,5.9,18,21,24,27,18,25,11,29,14,25,12,10,15,8.6,4.5,3.2,23,6.4,16,17,14,27,8.8,20,8.3,22,19,20,24,17,6.7,18,19,17,19,19,19
18,0.9,5.8,6.1,2.2,12,3.7,10,8.2,20,26,9.8,13,12,20,19,22,31,5.2,11,17,22,6.1,22,17,13,18,12,32,11,8.7,22,26,22,16,8.6,14,6.2,27,6.9,12,2.7,8,21,7.5,13,14
20,6.7,2.4,8.9,6.8,10,7.5,7.5,12,20,27,9.6,19,14,24,25,26,35,7,16,16,21,4.7,31,18,19,24,15,34,21,15,28,25,23,18,14,11,4.4,28,12,16,6.7,2.2,19,13,20,20
17,1.9,5.7,4.9,0.3,11,1.7,9.2,9.6,19,25,18,14,12,19,18,21,30,4.1,11,16,21,6.1,21,15,12,17,11,31,10,7.8,21,21,21,15,9.5,17,6.4,25,6.7,10,3.6,7.9,20,7.5,12,13
15,11,7.8,6.3,10,1.9,8.6,4.1,19,11,23,19,21,22,17,22,19,28,6.2,21,7.5,12,3.9,19,14,14,20,11,24,16,11,24,16,19,13,21,7.9,15,24,14,6,13,7.7,11,15,15,16
17,16,10,11,15,5.5,13,5.3,23,13,27,22,25,26,21,26,24,33,11,26,9.1,11,6.6,24,18,17,24,15,27,21,16,28,18,23,18,26,5.1,14,28,18,9.8,17,7.9,8.8,20,20,20
8.3,20,18,15,19,9.9,18,12,28,0.2,26,27,30,31,22,30,17,34,15,30,5.8,4.1,14,15,11,8.5,26,13,19,21,20,32,5.3,24,15,30,14,24,29,23,6.7,22,18,8.7,24,24,25
18,27,30,25,26,27,25,28,35,26,1.9,30,23,33,13,18,9.2,10,25,26,29,39,29,16,16,26,17,22,12,16,19,14,25,8.7,15,29,33,31,7.5,28,25,29,30,35,24,19,17
21,8.9,13,15,9.2,19,10,19,8.7,27,25,0.5,6.2,12,15,11,25,26,13,3.2,23,28,18,25,19,20,13,16,35,9.2,7.8,17,27,15,19,5.2,25,12,26,5.1,18,8.4,15,27,2.6,6.8,7
22,11,16,16,12,20,15,20,11,28,22,4.2,2.6,11,16,7.5,26,26,17,2.9,24,29,19,26,20,21,7.6,17,35,9.1,10,9.8,28,12,20,5.9,25,14,21,8.7,19,11,17,28,6.2,6.2,5.3
30,13,17,18,15,25,16,23,7.4,33,43,13,12,2.6,40,17,33,46,18,10,29,34,19,35,29,26,21,24,50,22,18,22,34,25,28,8.5,27,12,38,14,24,11,19,33,14,19,18
17,18,21,14,17,18,15,18,26,26,7.5,17,21,28,3.7,16,6.3,14,15,24,19,27,17,14,11,16,10,13,14,9.1,12,13,25,4.6,8.2,24,23,22,7.3,18,16,20,20,26,17,11,13
24,19,25,18,18,22,17,22,18,30,19,11,5.6,16,16,0.5,23,21,19,9.5,26,31,21,28,22,23,5.2,19,26,12,12,4.1,30,13,22,12,28,23,14,15,21,21,26,30,13,8.4,7.7
